Supplier ID,Supplier Name,Phone,Email
1,"Black Lotus","555-0100","black.lotus@mtg.com"
2,"Mox Pearl","555-0101","mox.pearl@mtg.com"
3,"Time Walk","555-0102","time.walk@mtg.com"
4,"Ancestral Recall","555-0103","ancestral.recall@mtg.com"
5,"Mox Sapphire","555-0104","mox.sapphire@mtg.com"
6,"Mox Jet","555-0105","mox.jet@mtg.com"
7,"Mox Ruby","555-0106","mox.ruby@mtg.com"
8,"Mox Emerald","555-0107","mox.emerald@mtg.com"
9,"Timetwister","555-0108","timetwister@mtg.com"
10,"Underground Sea","555-0109","underground.sea@mtg.com"
11,"Volcanic Island","555-0110","volcanic.island@mtg.com"
12,"Tropical Island","555-0111","tropical.island@mtg.com"
13,"Tundra","555-0112","tundra@mtg.com"
14,"Bayou","555-0113","bayou@mtg.com"
15,"Plateau","555-0114","plateau@mtg.com"
16,"Savannah","555-0115","savannah@mtg.com"
17,"Scrubland","555-0116","scrubland@mtg.com"
18,"Taiga","555-0117","taiga@mtg.com"
19,"Badlands","555-0118","badlands@mtg.com"
20,"Force of Will","555-0119","force.of.will@mtg.com"
21,"Jace, the Mind Sculptor","555-0120","jace@mtg.com"
22,"Liliana of the Veil","555-0121","liliana@mtg.com"
23,"Tarmogoyf","555-0122","tarmogoyf@mtg.com"
24,"Snapcaster Mage","555-0123","snapcaster.mage@mtg.com"
25,"Dark Confidant","555-0124","dark.confidant@mtg.com"
